months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
328,48,521585,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,1/25/2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,5,1,YES,1,YES,71610,6510,13020,52080,Saab,92x,2004,Y
228,42,342868,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,other-relative,1/21/2015,Vehicle Theft,?,Minor Damage,VA,Riverwood,8,1,?,0,?,5070,780,780,3510,Mercedes,E400,2007,Y
134,29,687698,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,2/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,7,3,NO,2,NO,34650,7700,3850,23100,Dodge,RAM,2007,N
256,41,227811,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,1/10/2015,Single Vehicle Collision,Front Collision,Major Damage,OH,Arlington,5,1,?,1,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y
228,44,367455,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,2/17/2015,Vehicle Theft,?,Minor Damage,NY,Arlington,20,1,NO,0,NO,6500,1300,650,4550,Accura,RSX,2009,N
256,39,104594,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,1/2/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Arlington,19,3,NO,0,NO,64100,6410,6410,51280,Saab,95,2003,Y
137,34,413978,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,1/13/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,0,3,?,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012,N
165,37,429027,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,2/27/2015,Multi-vehicle Collision,Front Collision,Total Loss,VA,Columbus,23,3,?,2,YES,51590,9380,9380,32830,Audi,A5,2015,N
27,33,485665,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,1/30/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,21,1,NO,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N
212,42,636550,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,1/5/2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,Hillsdale,14,1,NO,2,?,42300,4700,4700,32900,Saab,92x,1996,N
