,subnum,trial,diff,resp,corr,abstime,rt,gender
0,3,1,-54,<lshift>,0,2982,408,1
1,3,2,-41,<rshift>,1,4186,1298,1
2,3,3,-51,<lshift>,0,6280,154,1
3,3,4,-42,<rshift>,1,7230,202,1
4,3,5,-31,<rshift>,1,8236,340,1
5,3,6,-38,<lshift>,0,9373,119,1
6,3,7,-34,<rshift>,1,10287,316,1
7,3,8,-44,<lshift>,0,11399,211,1
8,3,9,-58,<lshift>,0,12407,111,1
9,3,10,-51,<rshift>,1,13313,171,1
10,3,11,-57,<lshift>,0,14277,544,1
11,3,12,-50,<rshift>,1,15615,339,1
12,3,13,-33,<rshift>,1,16746,236,1
13,3,14,-39,<lshift>,0,17781,105,1
14,3,15,-31,<rshift>,1,18684,230,1
15,3,16,-43,<lshift>,0,19711,45,1
16,3,17,-30,<rshift>,1,20550,120,1
17,3,18,-45,<lshift>,0,21469,30,1
18,3,19,-32,<rshift>,1,22296,529,1
19,3,20,-43,<lshift>,0,23624,178,1
20,3,21,-60,<lshift>,0,24598,206,1
21,3,22,-64,<lshift>,0,25599,321,1
22,3,23,-53,<rshift>,1,26715,192,1
23,3,24,-36,<rshift>,1,27699,387,1
24,3,25,-46,<lshift>,0,28879,246,1
25,3,26,-41,<rshift>,1,29917,284,1
26,3,27,-44,<lshift>,0,30998,328,1
27,3,28,-55,<lshift>,0,32119,411,1
28,3,29,-41,<rshift>,1,33322,201,1
29,3,30,-50,<lshift>,0,34313,273,1
30,3,31,-33,<rshift>,1,35381,229,1
31,3,32,-45,<lshift>,0,36405,168,1
32,3,33,-59,<lshift>,0,37364,394,1
33,3,34,-41,<rshift>,1,38552,222,1
34,3,35,-57,<lshift>,0,39568,228,1
35,3,36,-47,<rshift>,1,40589,143,1
36,3,37,-38,<rshift>,1,41525,567,1
37,3,38,-54,<lshift>,0,42885,125,1
38,3,39,-45,<rshift>,1,43806,162,1
39,3,40,-41,<rshift>,1,44760,264,1
40,3,41,-46,<lshift>,0,45816,150,1
41,3,42,-33,<rshift>,1,46759,120,1
42,3,43,-50,<lshift>,0,47675,172,1
43,3,44,-35,<rshift>,1,48643,140,1
44,3,45,-45,<lshift>,0,49577,426,1
45,3,46,-31,<rshift>,1,50796,28,1
46,3,47,-35,<lshift>,0,51612,370,1
47,3,48,-22,<rshift>,1,52775,329,1
48,3,49,-29,<lshift>,0,53895,159,1
49,3,50,-43,<lshift>,0,54851,217,1
0,2,1,-54,<lshift>,0,4023,490,1
1,2,2,-45,<rshift>,1,5305,364,1
2,2,3,-53,<lshift>,0,6461,126,1
3,2,4,-57,<lshift>,0,7380,139,1
4,2,5,-52,<rshift>,1,8313,270,1
5,2,6,-38,<rshift>,1,9375,220,1
6,2,7,-44,<lshift>,0,10388,136,1
7,2,8,-40,<rshift>,1,11316,143,1
8,2,9,-55,<lshift>,0,12259,97,1
9,2,10,-41,<rshift>,1,13159,249,1
10,2,11,-53,<lshift>,0,14200,106,1
11,2,12,-69,<lshift>,0,15101,370,1
12,2,13,-56,<rshift>,1,16262,161,1
13,2,14,-66,<lshift>,0,17215,391,1
14,2,15,-70,<lshift>,0,18406,863,1
15,2,16,-56,<rshift>,1,20068,194,1
16,2,17,-49,<rshift>,1,21052,244,1
17,2,18,-53,<lshift>,0,22083,253,1
