subnum,trial,diff,resp,corr,abstime,rt
3,1,-54,<lshift>,0,2982,408
3,2,-41,<rshift>,1,4186,1298
3,3,-51,<lshift>,0,6280,154
3,4,-42,<rshift>,1,7230,202
3,5,-31,<rshift>,1,8236,340
3,6,-38,<lshift>,0,9373,119
3,7,-34,<rshift>,1,10287,316
3,8,-44,<lshift>,0,11399,211
3,9,-58,<lshift>,0,12407,111
3,10,-51,<rshift>,1,13313,171
3,11,-57,<lshift>,0,14277,544
3,12,-50,<rshift>,1,15615,339
3,13,-33,<rshift>,1,16746,236
3,14,-39,<lshift>,0,17781,105
3,15,-31,<rshift>,1,18684,230
3,16,-43,<lshift>,0,19711,45
3,17,-30,<rshift>,1,20550,120
3,18,-45,<lshift>,0,21469,30
3,19,-32,<rshift>,1,22296,529
3,20,-43,<lshift>,0,23624,178
3,21,-60,<lshift>,0,24598,206
3,22,-64,<lshift>,0,25599,321
3,23,-53,<rshift>,1,26715,192
3,24,-36,<rshift>,1,27699,387
3,25,-46,<lshift>,0,28879,246
3,26,-41,<rshift>,1,29917,284
3,27,-44,<lshift>,0,30998,328
3,28,-55,<lshift>,0,32119,411
3,29,-41,<rshift>,1,33322,201
3,30,-50,<lshift>,0,34313,273
3,31,-33,<rshift>,1,35381,229
3,32,-45,<lshift>,0,36405,168
3,33,-59,<lshift>,0,37364,394
3,34,-41,<rshift>,1,38552,222
3,35,-57,<lshift>,0,39568,228
3,36,-47,<rshift>,1,40589,143
3,37,-38,<rshift>,1,41525,567
3,38,-54,<lshift>,0,42885,125
3,39,-45,<rshift>,1,43806,162
3,40,-41,<rshift>,1,44760,264
3,41,-46,<lshift>,0,45816,150
3,42,-33,<rshift>,1,46759,120
3,43,-50,<lshift>,0,47675,172
3,44,-35,<rshift>,1,48643,140
3,45,-45,<lshift>,0,49577,426
3,46,-31,<rshift>,1,50796,28
3,47,-35,<lshift>,0,51612,370
3,48,-22,<rshift>,1,52775,329
3,49,-29,<lshift>,0,53895,159
3,50,-43,<lshift>,0,54851,217
