subnum,trial,diff,resp,corr,abstime,rt
5,1,-34,<rshift>,1,11188,268
5,2,-47,<lshift>,0,12222,287
5,3,-31,<rshift>,1,13273,107
5,4,-42,<lshift>,0,14141,109
5,5,-46,<lshift>,0,15011,119
5,6,-30,<rshift>,1,15890,123
5,7,-47,<lshift>,0,16774,147
5,8,-29,<rshift>,1,17684,172
5,9,-44,<lshift>,0,18618,131
5,10,-42,<rshift>,1,19513,59
5,11,-31,<rshift>,1,20335,126
5,12,-38,<lshift>,0,21224,136
5,13,-33,<rshift>,1,22120,51
5,14,-35,<lshift>,0,22932,141
5,15,-52,<lshift>,0,23836,142
5,16,-39,<rshift>,1,24739,157
5,17,-42,<lshift>,0,25660,28
5,18,-26,<rshift>,1,26449,36
5,19,-32,<lshift>,0,27247,109
5,20,-44,<lshift>,0,28130,83
5,21,-29,<rshift>,1,28977,93
5,22,-33,<lshift>,0,29835,70
5,23,-50,<lshift>,0,30667,144
5,24,-34,<rshift>,1,31575,145
5,25,-39,<lshift>,0,32482,48
5,26,-33,<rshift>,1,33292,140
5,27,-38,<lshift>,0,34195,113
5,28,-54,<lshift>,0,35071,171
5,29,-42,<rshift>,1,36005,79
5,30,-35,<rshift>,1,36847,143
5,31,-53,<lshift>,0,37753,31
5,32,-36,<rshift>,1,38547,1301
5,33,-27,<rshift>,1,40610,96
5,34,-33,<lshift>,0,41468,33
5,35,-23,<rshift>,1,42263,6
5,36,-36,<lshift>,0,43032,69
5,37,-50,<lshift>,0,43865,72
5,38,-42,<rshift>,1,44698,75
5,39,-29,<rshift>,1,45535,108
5,40,-38,<lshift>,0,46405,141
5,41,-49,<lshift>,0,47309,184
5,42,-32,<rshift>,1,48255,91
5,43,-36,<lshift>,0,49108,27
5,44,-45,<lshift>,0,49898,121
5,45,-36,<rshift>,1,50783,29
5,46,-49,<lshift>,0,51576,33
5,47,-40,<rshift>,1,52368,82
5,48,-27,<rshift>,1,53211,111
5,49,-34,<lshift>,0,54084,179
5,50,-18,<rshift>,1,55025,106
