subnum,trial,diff,resp,corr,abstime,rt
4,1,-55,<lshift>,0,17839,1154
4,2,-41,<rshift>,1,19775,426
4,3,-35,<rshift>,1,20982,496
4,4,-40,<lshift>,0,22261,357
4,5,-44,<lshift>,0,23403,695
4,6,-33,<rshift>,1,24879,587
4,7,-18,<rshift>,1,26248,1042
4,8,-26,<lshift>,0,28067,440
4,9,-41,<lshift>,0,29295,419
4,10,-59,<lshift>,0,30497,853
4,11,-49,<rshift>,1,32130,407
4,12,-34,<rshift>,1,33311,499
4,13,-45,<lshift>,0,34590,418
4,14,-39,<rshift>,1,35788,760
4,15,-34,<rshift>,1,37330,829
4,16,-45,<lshift>,0,38942,743
4,17,-42,<rshift>,1,40467,630
4,18,-37,<rshift>,1,41879,552
4,19,-43,<lshift>,0,43205,492
4,20,-36,<rshift>,1,44480,461
4,21,-52,<lshift>,0,45723,526
4,22,-47,<rshift>,1,47024,427
4,23,-37,<rshift>,1,48227,490
4,24,-22,<rshift>,1,49499,847
4,25,-34,<lshift>,0,51125,330
4,26,-43,<lshift>,0,52237,429
4,27,-55,<lshift>,0,53449,652
4,28,-40,<rshift>,1,54884,372
4,29,-43,<lshift>,0,56037,470
4,30,-40,<rshift>,1,57291,511
4,31,-23,<rshift>,1,58586,520
4,32,-27,<lshift>,0,59889,516
4,33,-42,<lshift>,0,61189,342
4,34,-52,<lshift>,0,62313,412
4,35,-42,<rshift>,1,63509,342
4,36,-34,<rshift>,1,64634,545
4,37,-40,<lshift>,0,65961,406
4,38,-57,<lshift>,0,67151,434
4,39,-46,<rshift>,1,68364,363
4,40,-30,<rshift>,1,69509,604
4,41,-36,<lshift>,0,70895,358
4,42,-44,<lshift>,0,72038,436
4,43,-28,<rshift>,1,73258,363
4,44,-37,<lshift>,0,74404,371
4,45,-27,<rshift>,1,75557,474
4,46,-34,<lshift>,0,76813,358
4,47,-40,<lshift>,0,77953,457
4,48,-53,<lshift>,0,79196,410
4,49,-39,<rshift>,1,80389,348
4,50,-48,<lshift>,0,81521,563
