subnum,trial,diff,resp,corr,abstime,rt
7,1,-51,<lshift>,0,5780,785
7,2,-65,<lshift>,0,7348,212
7,3,-67,<lshift>,0,8347,193
7,4,-52,<rshift>,1,9322,696
7,5,-48,<rshift>,1,10803,79
7,6,-60,<lshift>,0,11665,477
7,7,-44,<rshift>,1,12923,78
7,8,-54,<lshift>,0,13785,40
7,9,-42,<rshift>,1,14609,20
7,10,-55,<lshift>,0,15412,154
7,11,-50,<rshift>,1,16348,864
7,12,-34,<rshift>,1,17995,439
7,13,-48,<lshift>,0,19214,347
7,14,-44,<rshift>,1,20344,161
7,15,-30,<rshift>,1,21289,930
7,16,-41,<lshift>,0,23002,211
7,17,-57,<lshift>,0,23995,396
7,18,-54,<rshift>,1,25173,235
7,19,-66,<lshift>,0,26189,151
7,20,-52,<rshift>,1,27122,5
7,21,-48,<rshift>,1,27907,59
7,22,-55,<lshift>,0,28749,29
7,23,-45,<rshift>,1,29562,35
7,24,-28,<rshift>,1,30379,1001
7,25,-35,<lshift>,0,32164,155
7,26,-41,<lshift>,0,33102,164
7,27,-54,<lshift>,0,34048,59
7,28,-61,<lshift>,0,34889,116
7,29,-47,<rshift>,1,35788,963
7,30,-56,<lshift>,0,37535,243
7,31,-51,<rshift>,1,38562,252
7,32,-56,<lshift>,0,39598,175
7,33,-44,<rshift>,1,40558,156
7,34,-46,<lshift>,0,41496,218
7,35,-30,<rshift>,1,42495,959
7,36,-48,<lshift>,0,44233,286
7,37,-44,<rshift>,1,45301,67
7,38,-60,<lshift>,0,46149,362
7,39,-45,<rshift>,1,47293,753
7,40,-58,<lshift>,0,48827,418
7,41,-41,<rshift>,1,50027,2
7,42,-53,<lshift>,0,50803,474
7,43,-51,<rshift>,1,52059,320
7,44,-61,<lshift>,0,53162,220
7,45,-70,<lshift>,0,54166,743
7,46,-60,<rshift>,1,55692,837
7,47,-57,<rshift>,1,57313,23
7,48,-66,<lshift>,0,58119,33
7,49,-57,<rshift>,1,58937,8
7,50,-48,<rshift>,1,59727,130
