subnum,trial,diff,resp,corr,abstime,rt
2,1,-35,<rshift>,1,16256,5533
2,2,-45,<lshift>,0,22556,375
2,3,-49,<lshift>,0,23694,416
2,4,-66,<lshift>,0,24872,181
2,5,-58,<rshift>,1,25817,191
2,6,-66,<lshift>,0,26767,82
2,7,-63,<rshift>,1,27612,130
2,8,-78,<lshift>,0,28505,137
2,9,-90,<lshift>,0,29407,843
2,10,-87,<rshift>,1,31013,525
2,11,-78,<rshift>,1,32300,408
2,12,-68,<rshift>,1,33470,93
2,13,-52,<rshift>,1,34326,106
2,14,-46,<rshift>,1,35193,15
2,15,-39,<rshift>,1,35972,1017
2,16,-31,<rshift>,1,37755,325
2,17,-36,<lshift>,0,38842,267
2,18,-50,<lshift>,0,39870,207
2,19,-66,<lshift>,0,40840,199
2,20,-48,<rshift>,1,41813,202
2,21,-35,<rshift>,1,42777,309
2,22,-38,<lshift>,0,43847,730
2,23,-53,<lshift>,0,45339,386
2,24,-46,<rshift>,1,46486,514
2,25,-53,<lshift>,0,47764,433
2,26,-45,<rshift>,1,48958,352
2,27,-41,<rshift>,1,50073,250
2,28,-35,<rshift>,1,51086,310
2,29,-45,<lshift>,0,52160,380
2,30,-32,<rshift>,1,53302,167
2,31,-36,<lshift>,0,54231,351
2,32,-42,<lshift>,0,55345,76
2,33,-48,<lshift>,0,56185,133
2,34,-62,<lshift>,0,57080,19
2,35,-45,<rshift>,1,57860,250
2,36,-31,<rshift>,1,58871,11
2,37,-37,<lshift>,0,59644,154
2,38,-51,<lshift>,0,60559,144
2,39,-62,<lshift>,0,61464,456
2,40,-51,<rshift>,1,62681,60
2,41,-48,<rshift>,1,63505,43
2,42,-64,<lshift>,0,64311,573
2,43,-59,<rshift>,1,65644,140
2,44,-48,<rshift>,1,66545,158
2,45,-32,<rshift>,1,67466,43
2,46,-39,<lshift>,0,68270,363
2,47,-54,<lshift>,0,69396,105
2,48,-58,<lshift>,0,70263,24
2,49,-48,<rshift>,1,71050,119
2,50,-41,<rshift>,1,71930,174
