subnum,trial,diff,resp,corr,abstime,rt
5,1,-36,<rshift>,1,34901,1359
5,2,-51,<lshift>,0,37022,455
5,3,-65,<lshift>,0,38237,822
5,4,-51,<rshift>,1,39819,282
5,5,-68,<lshift>,0,40863,407
5,6,-62,<rshift>,1,42032,325
5,7,-59,<rshift>,1,43117,339
5,8,-56,<rshift>,1,44216,322
5,9,-47,<rshift>,1,45297,420
5,10,-62,<lshift>,0,46479,425
5,11,-58,<rshift>,1,47663,340
5,12,-56,<rshift>,1,48765,638
5,13,-61,<lshift>,0,50163,409
5,14,-45,<rshift>,1,51333,642
5,15,-52,<lshift>,0,52735,329
5,16,-57,<lshift>,0,53825,363
5,17,-45,<rshift>,1,54949,242
5,18,-61,<lshift>,0,55952,391
5,19,-44,<rshift>,1,57103,330
5,20,-48,<lshift>,0,58193,355
5,21,-56,<lshift>,0,59309,483
5,22,-40,<rshift>,1,60552,225
5,23,-50,<lshift>,0,61538,285
5,24,-45,<rshift>,1,62584,328
5,25,-51,<lshift>,0,63672,282
5,26,-61,<lshift>,0,64715,295
5,27,-48,<rshift>,1,65770,262
5,28,-35,<rshift>,1,66794,553
5,29,-38,<lshift>,0,68109,219
5,30,-42,<lshift>,0,69090,238
5,31,-57,<lshift>,0,70089,267
5,32,-71,<lshift>,0,71117,400
5,33,-59,<rshift>,1,72277,190
5,34,-44,<rshift>,1,73230,328
5,35,-48,<lshift>,0,74319,367
5,36,-65,<lshift>,0,75449,284
5,37,-48,<rshift>,1,76493,234
5,38,-50,<lshift>,0,77489,194
5,39,-60,<lshift>,0,78443,477
5,40,-56,<rshift>,1,79680,503
5,41,-44,<rshift>,1,80943,300
5,42,-57,<lshift>,0,82003,261
5,43,-50,<rshift>,1,83025,275
5,44,-59,<lshift>,0,84059,231
5,45,-42,<rshift>,1,85051,284
5,46,-46,<lshift>,0,86095,218
5,47,-60,<lshift>,0,87074,231
5,48,-50,<rshift>,1,88066,184
5,49,-42,<rshift>,1,89011,514
5,50,-56,<lshift>,0,90287,210
