G1,G2,G3,G4,G5,G6,G7,G8,G9
0.175,0.188,-0.159,0.095,0.374,-0.238,-0.8,0.158,-0.211
0.102,0.075,0.141,0.18,0.138,-0.057,-0.075,0.072,0.072
0.607,0.711,0.879,0.765,0.592,0.187,0.431,0.345,0.187
0.774,0.823,0.619,0.37,0.725,0.439,-0.025,-0.259,0.496
0.504,0.644,0.845,0.681,0.502,0.151,0.404,0.296,0.26
0.57,0.729,0.879,0.624,0.588,0.204,0.435,-0.018,0.354
0.885,0.932,0.878,0.662,0.839,0.917,0.593,0.252,0.801
-0.029,0.065,0.258,0.078,-0.053,-0.456,-0.153,-0.356,-0.379
1.396,1.461,1.342,1.122,1.394,1.408,0.924,0.638,1.375
0.389,0.428,0.332,0.466,0.35,0.539,-0.159,-0.459,0.259
0.155,0.238,0.416,0.327,0.189,-0.274,0.001,-0.152,-0.098
0.127,0.17,0.381,0.339,0.121,-0.302,-0.147,-0.062,-0.099
0.165,0.298,0.472,0.249,0.172,-0.231,-0.036,0.011,-0.12
0.372,0.418,0.296,0.109,0.334,0.089,-0.149,-0.398,0.254
0.05,0.157,0.348,0.257,0.054,-0.272,-0.231,-0.207,-0.205
-0.148,-0.285,-0.137,-0.089,-0.188,-0.705,-1.029,0.007,-0.398
0.249,0.465,0.225,0.331,0.525,0.036,-0.131,-0.212,0.02
-0.315,-0.148,-0.33,0.15,-0.266,0.382,-0.246,0.417,-0.428
0.123,0.189,0.189,0.036,0.093,0.246,0.861,-0.097,-0.114
0.144,0.201,0.396,0.393,0.171,-0.312,-0.248,-0.08,-0.118
-0.558,-0.705,-0.526,-0.412,-0.753,-0.998,-0.27,0.598,-1.416
0.218,0.435,0.218,0.3,0.496,0.002,0.135,0.184,-0.03
-0.444,-0.315,-0.461,-0.278,0.283,0.068,1.185,-0.246,-0.097
0.182,0.264,0.142,0.023,0.177,-0.219,-0.105,-0.269,-0.039
0.303,0.402,0.588,0.477,0.309,0.159,0.108,-0.018,0.249
-0.3,0.083,-0.266,-0.148,-0.148,0.744,-0.246,0.728,0.283
0.559,0.61,0.492,0.347,0.531,0.242,0.203,0.06,0.615
0.093,0.171,0.357,0.255,0.096,-0.327,-0.111,-0.136,-0.193
0.038,-0.12,0.039,0.09,0.007,-0.609,-0.753,0.312,-0.203
0.42,0.548,0.382,0.515,0.728,0.102,-0.048,-0.066,0.3
0.249,0.548,0.184,0.837,0.315,0.901,0.102,0.711,0.201
-0.084,-0.06,-0.089,-0.255,-0.203,-0.12,-0.203,-0.609,-0.461
0.304,0.34,0.227,0.025,0.263,0.31,-0.144,-0.437,0.207
0.134,0.213,0.418,0.307,-0.122,0.146,-0.212,-0.023,-0.205
0.304,0.34,0.227,0.025,0.263,0.31,-0.144,-0.437,0.207
0.134,0.213,0.418,-0.122,0.146,-0.212,0.307,-0.023,-0.205
0.304,0.34,0.227,0.025,0.263,0.31,-0.144,-0.437,0.207
0.134,0.213,0.418,0.307,-0.122,0.146,-0.212,-0.023,-0.205
7.197,8.06,7.223,7.589,7.258,8.31,7.835,8.931,7.824
2.19,2.664,2.325,2.43,2.253,3.303,2.502,3.627,2.727
0.392,0.818,0.438,0.478,0.47,1.198,0.37,1.23,0.82
0.201,0.664,0.184,0.368,0.201,0.515,-0.114,0.812,0.315
-0.338,-0.479,-0.366,-0.269,-0.366,-0.721,-0.495,-0.721,-0.543
0.381,0.531,0.368,0.447,0.666,0.119,-0.015,-0.097,0.167
0.002,0,0.068,0.299,0.35,0.052,0.728,0.874,0.646
0.162,0.023,0.169,0.229,0.12,-0.235,-0.235,-0.071,-0.071
0.258,0.378,0.232,0.364,0.534,0.061,-0.034,-0.18,0.011
0.068,0.112,0.068,0.645,0.331,0.762,0.429,1.145,0.531
-0.677,-0.677,-0.595,-0.33,-0.278,-0.541,0.403,-0.87,0.049
0.117,0.171,0.129,0.405,-0.465,-0.195,-0.307,-0.042,0.24
-0.039,-0.203,-0.105,-0.025,-0.071,-0.624,-0.381,-0.398,-0.3
0.167,0.184,0.167,0.267,0.437,0.615,-0.18,-0.294,-0.114
0.769,0.812,0.788,0.682,0.759,0.721,0.662,0.413,0.852
0.255,-0.443,0.285,0.356,0.525,0.024,0.064,-0.113,0.039
