street_id,street_number,street_name,street_address
1,64282,Bartillon,1498 Carpenter Street
2,775,Express,5 Nelson Center
3,60,Burning Wood,2 Commercial Way
4,43,Arapahoe,72885 Sunnyside Circle
5,5401,Waxwing,42 Kipling Alley
6,68,Hudson,3819 Old Gate Point
7,478,Butternut,486 Kingsford Center
8,6,Kim,08301 Caliangt Junction
9,39,Logan,7172 Village Place
10,8,Butterfield,373 Oneill Crossing
11,158,Starling,9362 Barby Hill
12,54,Melvin,84 Warrior Park
13,2810,Loftsgordon,78512 Farwell Pass
14,455,Menomonie,58 Thompson Avenue
15,392,Dawn,67 Myrtle Pass
16,26004,Toban,9 Northwestern Road
17,85250,Morningstar,8502 Washington Parkway
18,5854,Moland,41374 Corben Terrace
19,1479,Summer Ridge,560 Prairie Rose Point
20,441,Kenwood,49615 Marcy Terrace
21,543,3rd,05628 Delaware Terrace
22,3199,Sutteridge,355 Coleman Park
23,9,Coolidge,8 Fulton Junction
24,801,Kenwood,12 Mesta Crossing
25,0823,Dunning,2432 Southridge Terrace
26,1,Darwin,7829 Green Hill
27,4,Daystar,6 Meadow Ridge Circle
28,58600,Grasskamp,616 Mccormick Terrace
29,47964,Helena,8206 Schurz Way
30,78918,Comanche,79378 Gina Center
31,7633,Valley Edge,19576 Susan Avenue
32,88350,Glendale,107 East Circle
33,5,Mccormick,226 Towne Point
34,2845,Hagan,863 Bobwhite Crossing
35,17,Fairview,834 Kedzie Trail
36,988,East,8 Bay Plaza
37,94,Fieldstone,1 Morning Trail
38,504,Blue Bill Park,4528 Quincy Junction
39,65854,Summer Ridge,60 Fairview Terrace
40,67,Graceland,261 Darwin Road
41,4,Del Mar,151 Forest Run Terrace
42,39,Bunker Hill,462 Fieldstone Place
43,49312,Lakewood,34 Goodland Terrace
44,1285,Clove,20 Gale Way
45,31,Myrtle,0 Sage Terrace
46,63,Green,42 Huxley Street
47,5,Golf Course,3 East Trail
48,82132,Brown,91 Golf Pass
49,937,Armistice,5 Hauk Court
50,74,Esch,89105 East Street
51,9945,Blackbird,62 Golf View Plaza
52,7839,Charing Cross,88 Logan Hill
53,47,School,3091 Village Place
54,35,Troy,9264 Kingsford Junction
55,72,American Ash,50448 Bayside Pass
56,67858,Fulton,92920 Doe Crossing Center
57,23155,Annamark,874 Straubel Point
58,03846,Elka,26786 Parkside Court
59,40,Mcguire,94 Thierer Pass
60,6978,Mcguire,7 Loftsgordon Street
61,95,Hooker,118 Moose Junction
62,5224,Burrows,2 Rutledge Junction
63,2760,Starling,489 Grim Circle
64,105,Ridgeview,0 Lawn Crossing
65,7,Colorado,9 Helena Pass
66,22,Alpine,13629 Pearson Alley
67,5171,Vernon,034 Dottie Road
68,6057,Steensland,52 Cherokee Parkway
69,9255,Butternut,24 Oneill Street
70,472,Dorton,41907 Westridge Road
71,0435,Burning Wood,669 Darwin Parkway
72,574,Anzinger,2165 Lighthouse Bay Place
73,82001,Beilfuss,003 Stephen Pass
74,17645,Northwestern,32483 Banding Road
75,99,South,560 4th Junction
76,77296,Onsgard,4 Darwin Center
77,3,Upham,7360 Carey Circle
78,47727,Duke,995 Alpine Court
79,65,Ilene,45201 Dottie Trail
80,390,Fieldstone,2 Fallview Road
81,3185,High Crossing,2 Ridgeway Center
82,37,Judy,5586 Old Gate Center
83,76,Straubel,976 Lyons Hill
84,0498,Declaration,22 Crescent Oaks Trail
85,2257,Thierer,281 Merchant Plaza
86,3515,Schmedeman,3 Westridge Drive
87,9,Luster,62087 Tomscot Crossing
88,295,Haas,571 Harper Alley
89,9591,Vermont,11 Fulton Parkway
90,880,Dawn,74 Loftsgordon Pass
91,537,Mockingbird,478 Forest Run Street
92,89,Morning,9 Kenwood Center
93,502,Dennis,251 Ridgeview Hill
94,3605,Continental,44930 Killdeer Circle
95,912,Becker,89291 Crest Line Junction
96,580,Truax,79 Cottonwood Point
97,5,Golf Course,96028 Longview Street
98,7830,Hanover,4783 Scott Plaza
99,90577,Aberg,948 Carberry Crossing
100,26666,Sugar,69222 Helena Street
