review_id,customer_id,product_id,feedback,rating,createdAt
1,30,40,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,2,2021-10-19
2,70,33,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,5,2022-06-22
3,84,59,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,3,2022-01-01
4,24,60,in imperdiet et commodo vulputate justo in blandit ultrices enim,4,2022-03-13
5,20,41,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,1,2022-01-23
6,8,33,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,2,2022-06-09
7,80,6,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,5,2022-05-16
8,14,40,quam nec dui luctus rutrum nulla tellus in sagittis dui vel,3,2022-09-24
9,67,1,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,5,2021-11-06
10,53,8,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,2,2022-01-15
11,15,44,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,4,2022-09-23
12,42,40,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,4,2022-02-02
13,1,6,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,4,2022-05-16
14,33,42,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,5,2022-07-14
15,24,20,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,4,2021-12-05
16,28,42,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,3,2022-07-04
17,92,47,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,4,2021-10-22
18,81,13,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,4,2022-03-06
19,68,51,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,5,2021-11-24
20,63,21,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,2,2022-05-01
21,18,21,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,3,2022-08-02
22,30,6,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,2,2021-11-23
23,70,55,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,5,2022-01-09
24,8,53,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,3,2021-10-29
25,37,10,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,3,2022-09-14
26,26,30,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,2,2022-09-05
27,37,48,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,4,2022-06-02
28,53,13,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,3,2022-08-22
29,36,39,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,1,2021-12-01
30,67,28,lectus vestibulum quam sapien varius ut blandit non interdum in ante,2,2021-11-16
31,2,10,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,3,2022-01-25
32,88,38,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,4,2022-07-29
33,67,4,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,2,2022-01-18
34,53,52,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2,2021-12-21
35,11,33,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,3,2022-06-22
36,65,62,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,4,2022-07-27
37,7,38,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,5,2022-04-21
38,52,43,ut at dolor quis odio consequat varius integer ac leo pellentesque,1,2021-11-11
39,21,47,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,2,2022-02-04
40,30,23,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2,2022-05-31
41,41,15,eu sapien cursus vestibulum proin eu mi nulla ac enim in,3,2022-09-20
42,90,48,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,4,2021-12-02
43,12,28,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,3,2022-06-28
44,96,36,sem fusce consequat nulla nisl nunc nisl duis bibendum felis,3,2022-05-28
45,66,55,phasellus id sapien in sapien iaculis congue vivamus metus arcu,2,2022-03-17
46,61,34,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,1,2022-05-26
47,25,35,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,5,2022-08-08
48,21,8,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,1,2021-10-30
49,21,19,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,1,2022-04-17
50,9,18,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,2,2022-02-14
51,72,37,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,1,2021-12-22
52,72,37,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,1,2022-06-18
53,98,30,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,5,2022-08-30
54,63,24,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,1,2022-08-01
55,98,24,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,1,2022-06-17
56,54,56,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,1,2022-01-29
57,36,57,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,4,2021-12-23
58,2,31,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,2,2022-07-06
59,95,57,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,4,2021-10-24
60,25,44,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,5,2022-09-05
61,37,24,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,3,2022-04-21
62,26,20,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,4,2022-04-21
63,36,20,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,3,2022-02-04
64,32,53,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,5,2022-04-13
65,50,16,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus,2,2022-03-03
66,13,23,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,3,2022-04-25
67,45,31,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,1,2022-01-30
68,2,19,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,4,2022-04-12
69,82,16,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,2,2022-05-26
70,68,57,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,5,2022-06-03
71,36,40,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,2,2022-02-06
72,46,48,ligula vehicula consequat morbi a ipsum integer a nibh in,3,2021-12-24
73,56,54,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,1,2021-12-10
74,44,59,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,2,2022-04-08
75,21,13,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,5,2021-12-21
76,67,2,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,3,2022-02-21
77,10,26,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,4,2021-12-03
78,26,48,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,1,2022-06-10
79,21,46,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,2,2022-06-09
80,24,33,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,3,2022-04-30
81,58,28,duis ac nibh fusce lacus purus aliquet at feugiat non,1,2021-12-15
82,69,58,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,2,2022-03-28
83,74,24,felis ut at dolor quis odio consequat varius integer ac leo,3,2022-09-11
84,68,34,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,5,2022-03-26
85,24,9,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,2,2022-01-25
86,60,58,donec ut dolor morbi vel lectus in quam fringilla rhoncus,5,2022-02-07
87,88,37,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,5,2022-06-04
88,54,44,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,1,2022-03-04
89,46,47,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,5,2022-09-17
90,92,8,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,1,2021-10-18
91,26,26,semper rutrum nulla nunc purus phasellus in felis donec semper,4,2022-08-17
92,93,11,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,4,2022-03-11
93,11,45,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,4,2022-06-29
94,16,38,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,3,2022-09-25
95,83,35,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,4,2022-08-11
96,20,38,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,1,2022-09-01
